col_name,data_type,comment
DATA_FLTE_MB_M1,"decimal(20,8)",Data Volume Overall By Technology
DATA_FLTE_MB_M1_GS,"decimal(15,8)",Data Volume Overall By Technology
DATA_FLTE_MB_M1_WS,"decimal(15,8)",Data Volume Overall By Technology
DATA_LTE_MB_M1,"decimal(20,8)",Data Volume Overall By Technology
DATA_LTE_MB_M1_GS,"decimal(15,8)",Data Volume Overall By Technology
DATA_LTE_MB_M1_WS,"decimal(15,8)",Data Volume Overall By Technology
DATA_MOU_CHRG_M1,"decimal(20,8)","Indicates Total Volume of  Data events within a given month.
M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
DATA_MOU_CHRG_M3,"decimal(20,8)","Indicates Total Volume of  Data events within a given month.
M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
DATA_MOU_CHRG_M6,"decimal(20,8)","Indicates Total Volume of  Data events within a given month.
M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
DATA_MOU_CHRG_WK1,"decimal(20,8)","Indicates Total Volume of  Data events within a given month.
WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
DATA_MOU_CHRG_WK2,"decimal(20,8)","Indicates Total Volume of  Data events within a given month.
WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
DATA_MOU_CHRG_WK3,"decimal(20,8)","Indicates Total Volume of  Data events within a given month.
WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
